"Concentration","time","se","cfu","source","bac","abx"
0,1,NA,2124151.130078,"model","201kt7","tet"
0,2,NA,18178134.3795208,"model","201kt7","tet"
0,3,NA,140083165.809103,"model","201kt7","tet"
0,4,NA,614864506.828934,"model","201kt7","tet"
0,6,NA,1088612489.67797,"model","201kt7","tet"
0.25,0,NA,281666.666666667,"model","201kt7","tet"
0.25,1,NA,2438801.13231156,"model","201kt7","tet"
0.25,2,NA,20803564.942373,"model","201kt7","tet"
0.25,3,NA,157592242.087554,"model","201kt7","tet"
0.25,4,NA,650986045.035083,"model","201kt7","tet"
0.25,6,NA,1089479437.92499,"model","201kt7","tet"
0.5,0,NA,210000,"model","201kt7","tet"
0.5,1,NA,1810794.67286908,"model","201kt7","tet"
0.5,2,NA,15442364.9059026,"model","201kt7","tet"
0.5,3,NA,120409781.365657,"model","201kt7","tet"
0.5,4,NA,565714601.751926,"model","201kt7","tet"
0.5,6,NA,1083449035.22706,"model","201kt7","tet"
1,0,NA,230000,"model","201kt7","tet"
1,1,NA,1935345.90429412,"model","201kt7","tet"
1,2,NA,16097351.4234881,"model","201kt7","tet"
1,3,NA,122194826.165852,"model","201kt7","tet"
1,4,NA,560680761.254886,"model","201kt7","tet"
1,6,NA,1070622949.57704,"model","201kt7","tet"
2,0,NA,185000,"model","201kt7","tet"
2,1,NA,1376112.33166742,"model","201kt7","tet"
2,2,NA,10159851.6867916,"model","201kt7","tet"
2,3,NA,71103107.5370067,"model","201kt7","tet"
2,4,NA,365522283.788174,"model","201kt7","tet"
2,6,NA,989718591.341398,"model","201kt7","tet"
4,0,NA,176666.666666667,"model","201kt7","tet"
4,1,NA,770226.937043842,"model","201kt7","tet"
4,2,NA,3349103.70449308,"model","201kt7","tet"
4,3,NA,14396588.5638731,"model","201kt7","tet"
4,4,NA,59004544.1495052,"model","201kt7","tet"
4,6,NA,464246159.792265,"model","201kt7","tet"
8,0,NA,278333.333333333,"model","201kt7","tet"
8,1,NA,326891.626929715,"model","201kt7","tet"
8,2,NA,383881.929703904,"model","201kt7","tet"
8,3,NA,450752.855044028,"model","201kt7","tet"
8,4,NA,529197.272206529,"model","201kt7","tet"
8,6,NA,729030.196027426,"model","201kt7","tet"
16,0,NA,211666.666666667,"model","201kt7","tet"
16,1,NA,80944.8053715722,"model","201kt7","tet"
16,2,NA,30959.710943624,"model","201kt7","tet"
16,3,NA,11842.1737754562,"model","201kt7","tet"
16,4,NA,4529.77277309829,"model","201kt7","tet"
16,6,NA,662.78988774807,"model","201kt7","tet"
32,0,NA,215000,"model","201kt7","tet"
32,1,NA,56815.7916992265,"model","201kt7","tet"
32,2,NA,15016.6355081235,"model","201kt7","tet"
32,3,NA,3969.13317524767,"model","201kt7","tet"
